,card_id,card_type,syllabus_name,subject_name,chapter_id,chapter_name,current_level,num_attempts,total_time_spent,temporal_ratings,retention_value,exam_preparedness_value,learning_efficiency,abs_learning_efficiency,last_attempt_time,num_days
0,74816,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,6,110,AEEEEE,11.0,100.0,100,97,2023-05-07 11:45:06,180.0
1,74817,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,7,129,EHEEEEE,3.0,100.0,100,86,2023-05-15 18:45:04,172.0
2,74818,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,4,50,EEEE,5.0,100.0,100,100,2023-04-30 13:09:08,187.0
3,74819,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,50,EEEEE,12.0,100.0,100,100,2023-05-11 23:56:10,176.0
4,74820,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,55,EEEEE,12.0,100.0,100,100,2023-05-17 16:39:32,170.0
5,74821,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,4,33,EEEE,5.0,100.0,100,100,2023-04-30 13:14:50,187.0
6,74822,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,46,EEEEE,8.0,100.0,100,100,2023-05-27 15:47:42,160.0
7,74823,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,51,EEEEE,17.0,100.0,100,100,2023-05-27 15:42:26,160.0
8,74824,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,11,225,EHEEEEHEEEE,12.0,100.0,100,82,2023-05-15 18:27:54,172.0
9,74825,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,143,EEEAE,8.0,100.0,95,96,2023-05-28 00:01:52,159.0
10,74826,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,56,EEEEE,16.0,100.0,100,100,2023-05-25 23:26:12,162.0
11,74827,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,4,61,EEEE,8.0,100.0,100,100,2023-05-27 23:53:43,160.0
12,74828,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,5,36,EEEEE,7.0,100.0,100,100,2023-05-28 00:09:29,159.0
13,74829,question_answer,Class-9,Chemistry,1744,1.2 - Chemical Compounds,NS,4,37,EEEE,8.0,100.0,100,100,2023-05-27 16:01:35,160.0
