,card_id,session_id,syllabus_name,subject_name,chapter_number,sub_chapter_number,chapter_name,section,card_type,difficulty_level,prior_level,prior_num_attempts,prior_total_time_spent,prior_temporal_ratings,prior_retention_value,prior_exam_preparedness,prior_learning_efficiency,prior_abs_learning_efficiency,prior_attempt_time,attempt_timestamp,attempt_gap_num_days,rating,points_earned,time_spent_sec,next_level
0,76049,29186,Class-9,Biology,2,1,Cell (qa),2.03 - Cell Theory,question_answer,28,NS,4,126,EEEE,19.0,100.0,100,0,2023-07-26 22:54:13,2023-09-19 14:32:18,55.0,E,58,15,MAS
1,76056,29186,Class-9,Biology,2,1,Cell (qa),2.07 - Cell Shapes,question_answer,21,NS,4,85,EEEE,19.0,100.0,100,0,2023-07-26 22:54:24,2023-09-19 14:32:30,55.0,E,41,12,MAS
2,76058,29186,Class-9,Biology,2,1,Cell (qa),2.07 - Cell Shapes,question_answer,19,NS,5,81,PEEEE,19.0,100.0,100,0,2023-07-26 22:55:07,2023-09-19 14:32:52,55.0,E,29,23,MAS
3,76075,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,21,NS,4,59,EEEE,19.0,100.0,100,0,2023-07-26 22:56:04,2023-09-19 14:33:20,55.0,E,17,28,MAS
4,76082,29186,Class-9,Biology,2,1,Cell (qa),2.08.2 - Cytoplasm,question_answer,15,NS,5,145,PEEEE,19.0,100.0,100,0,2023-07-26 22:56:42,2023-09-19 14:33:36,55.0,E,29,16,MAS
5,76147,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,30,NS,4,145,HEEE,13.0,100.0,100,0,2023-08-19 12:12:39,2023-09-19 14:34:29,31.0,E,43,54,MAS
6,76339,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,19,NS,3,79,EEE,20.0,100.0,100,0,2023-07-27 16:15:00,2023-09-19 14:34:47,54.0,E,18,18,L1
7,76340,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,28,NS,6,327,HHEEEE,15.0,100.0,100,0,2023-07-27 16:15:44,2023-09-19 14:35:17,54.0,E,28,31,L1
8,76357,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,33,NS,5,214,HEEEE,13.0,100.0,100,0,2023-08-19 12:13:59,2023-09-19 14:35:38,31.0,E,34,21,L1
9,76378,29186,Class-9,Biology,2,1,Cell (qa),2.11 - Prokaryotic cell and eukaryotic cell,question_answer,74,L0,3,309,EPP,0.0,100.0,67,67,2023-09-02 20:14:01,2023-09-19 14:37:11,17.0,E,53,94,L1
10,76376,29186,Class-9,Biology,2,1,Cell (qa),2.10 - The plant and animal cells,question_answer,35,L0,9,400,HEEPEEAEH,0.0,100.0,70,70,2023-09-02 20:24:03,2023-09-19 14:37:31,17.0,E,31,20,L1
11,76346,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.1 - Endoplasmic reticulum,question_answer,30,L2,6,278,PEEEEE,55.0,100.0,100,92,2023-09-02 20:18:51,2023-09-19 14:37:56,17.0,E,14,26,L3
12,76366,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,19,L2,7,233,EPEHEEE,33.0,100.0,75,79,2023-09-02 20:19:28,2023-09-19 14:38:16,17.0,E,10,20,L3
13,76375,29186,Class-9,Biology,2,1,Cell (qa),2.10 - The plant and animal cells,question_answer,31,L2,8,366,PEEPEEEE,33.0,100.0,100,88,2023-09-02 20:22:14,2023-09-19 14:39:14,17.0,E,12,58,L3
14,76371,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,21,L2,7,294,HEEEEEE,66.0,100.0,100,86,2023-09-02 20:23:15,2023-09-19 14:39:40,17.0,E,10,27,L3
15,76146,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,51,L3,5,181,HEEEE,33.0,100.0,100,80,2023-09-02 20:14:34,2023-09-19 14:40:00,17.0,E,13,20,MAS
16,76113,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.4 - Golgi apparatus,question_answer,54,L3,8,377,HEHEEEEE,33.0,100.0,100,75,2023-09-02 20:15:32,2023-09-19 14:40:39,17.0,E,12,40,MAS
