,card_id,card_type,chapter_id,difficulty_level
0,744,question_answer,12,2
1,745,question_answer,12,2
2,746,question_answer,12,2
3,747,question_answer,12,2
4,748,question_answer,12,2
5,749,question_answer,12,2
6,750,question_answer,12,2
7,751,question_answer,12,2
8,752,question_answer,12,2
9,753,question_answer,12,2
10,760,question_answer,12,2
11,761,question_answer,12,2
12,762,question_answer,12,2
13,763,question_answer,12,2
14,764,question_answer,12,2
15,765,question_answer,12,2
16,766,question_answer,12,2
17,767,question_answer,12,2
18,768,question_answer,12,2
19,769,question_answer,12,2
20,1830,spellbee,22,4
21,1831,spellbee,22,4
22,1832,spellbee,22,7
23,1833,spellbee,22,6
24,1834,spellbee,22,6
25,1835,spellbee,22,4
26,1836,spellbee,22,7
27,1837,spellbee,22,7
28,1838,spellbee,22,6
29,1839,spellbee,22,4
30,1840,spellbee,22,9
31,1841,spellbee,22,9
32,1842,spellbee,22,12
33,1843,spellbee,22,12
34,1844,spellbee,22,10
35,1845,spellbee,22,10
36,1846,spellbee,22,13
37,1847,spellbee,22,12
38,1848,spellbee,22,12
39,1849,spellbee,22,9
40,1854,spellbee,24,7
41,1855,spellbee,24,7
42,1856,spellbee,24,9
43,1858,spellbee,24,7
44,1859,spellbee,24,6
45,1860,spellbee,24,4
46,1861,spellbee,24,6
47,1862,spellbee,24,4
48,1863,spellbee,24,4
49,1864,spellbee,24,4
50,1866,spellbee,24,4
51,1868,spellbee,24,9
52,1869,spellbee,24,10
53,1870,spellbee,24,4
54,1871,spellbee,24,6
55,1872,spellbee,24,12
56,1873,spellbee,24,6
57,1874,spellbee,24,6
58,1875,spellbee,24,6
59,1876,spellbee,24,9
60,1877,spellbee,24,6
61,1878,spellbee,24,6
62,1879,spellbee,24,6
63,1880,spellbee,24,4
64,1881,spellbee,24,4
65,1882,spellbee,24,7
66,1884,spellbee,24,6
67,1885,spellbee,24,9
68,1886,spellbee,24,6
69,1887,spellbee,24,4
70,1888,spellbee,24,4
71,2170,question_answer,12,2
72,2171,question_answer,12,2
73,2172,question_answer,12,2
74,2173,question_answer,12,2
75,2174,question_answer,12,2
76,2175,question_answer,12,2
77,2176,question_answer,12,2
78,2177,question_answer,12,2
79,2178,question_answer,12,2
80,2179,question_answer,12,2
81,2186,question_answer,25,2
82,2187,question_answer,25,2
83,2188,question_answer,25,2
84,2189,question_answer,25,2
85,2190,question_answer,25,2
86,2191,question_answer,25,2
87,2192,question_answer,25,2
88,2193,question_answer,25,2
89,2194,question_answer,25,2
90,2195,question_answer,25,2
91,2196,question_answer,25,2
92,2197,question_answer,25,2
93,2198,question_answer,25,2
94,2199,question_answer,25,2
95,2200,question_answer,25,2
96,2201,question_answer,25,2
97,2202,question_answer,25,2
98,2203,question_answer,25,2
99,2204,question_answer,25,2
100,2205,question_answer,25,2
101,2206,question_answer,25,2
102,2207,question_answer,25,2
103,2208,question_answer,25,2
104,2209,question_answer,25,2
105,2210,question_answer,25,2
106,2211,question_answer,25,2
107,2212,question_answer,25,2
108,2213,question_answer,25,2
109,2214,question_answer,25,2
110,2215,question_answer,25,2
111,2216,question_answer,25,2
112,2217,question_answer,25,2
113,2218,question_answer,25,2
114,2219,question_answer,25,2
115,2220,question_answer,25,2
116,2221,question_answer,25,2
117,2222,question_answer,25,2
118,2223,question_answer,25,2
119,2224,question_answer,25,2
120,2225,question_answer,25,2
121,2226,question_answer,25,2
122,2227,question_answer,25,2
123,2228,question_answer,25,2
124,2229,question_answer,25,2
125,2230,question_answer,25,2
126,2231,question_answer,25,2
127,2232,question_answer,25,2
128,2233,question_answer,25,2
129,2234,question_answer,25,2
130,2235,question_answer,25,2
131,2236,question_answer,25,2
132,2237,question_answer,25,2
133,2238,question_answer,25,2
134,2239,question_answer,25,2
135,2240,question_answer,25,2
136,2241,question_answer,25,2
137,2242,question_answer,25,2
138,2243,question_answer,25,2
139,2244,question_answer,25,2
140,2245,question_answer,25,2
141,2246,question_answer,25,2
142,2247,question_answer,25,2
143,2248,question_answer,25,2
144,2249,question_answer,25,2
145,2250,question_answer,25,2
146,2251,question_answer,25,2
147,2252,question_answer,25,2
148,2253,question_answer,25,2
149,2254,question_answer,25,2
150,2255,question_answer,25,2
151,2256,question_answer,25,2
152,2257,question_answer,25,2
153,2258,question_answer,25,2
154,2259,question_answer,25,2
155,2260,question_answer,25,2
156,2261,question_answer,25,2
157,2262,question_answer,25,2
158,2263,question_answer,25,2
159,2264,question_answer,25,2
160,2265,question_answer,25,2
161,2266,question_answer,25,2
162,2267,question_answer,25,2
163,2268,question_answer,25,2
164,2269,question_answer,25,2
165,2270,question_answer,25,2
166,2271,question_answer,25,2
167,2272,question_answer,25,2
168,2273,question_answer,25,2
169,2274,question_answer,25,2
170,2275,question_answer,25,2
171,2276,question_answer,25,2
172,2277,question_answer,25,2
173,2278,question_answer,25,2
174,2279,question_answer,25,2
175,2280,question_answer,25,2
176,2281,question_answer,25,2
177,2282,question_answer,25,2
178,2283,question_answer,25,2
179,2284,question_answer,25,2
180,2285,question_answer,25,2
181,2286,question_answer,25,2
182,2287,question_answer,25,2
183,2288,question_answer,25,2
184,2289,question_answer,25,2
185,2290,question_answer,25,2
186,2291,question_answer,25,2
187,2292,question_answer,25,2
188,2293,question_answer,25,2
189,2294,question_answer,25,2
190,2295,question_answer,25,2
191,2296,question_answer,25,2
192,2297,question_answer,25,2
193,2298,question_answer,25,2
194,2299,question_answer,25,2
195,2300,question_answer,25,2
196,2301,question_answer,25,2
197,2302,question_answer,25,2
198,2303,question_answer,25,2
199,2304,question_answer,25,2
200,2305,question_answer,25,2
201,2306,question_answer,25,2
202,2307,question_answer,25,2
203,2308,question_answer,25,2
204,2309,question_answer,25,2
205,2310,question_answer,25,2
206,2311,question_answer,25,2
207,2312,question_answer,25,2
208,2313,question_answer,25,2
209,2314,question_answer,25,2
210,2315,question_answer,25,2
211,2316,question_answer,25,2
212,2317,question_answer,25,2
213,2318,question_answer,25,2
214,2319,question_answer,25,2
215,2320,question_answer,25,2
216,2321,question_answer,25,2
217,2322,question_answer,25,2
218,2323,question_answer,25,2
219,2324,question_answer,25,2
220,2325,question_answer,25,2
221,2326,question_answer,25,2
222,2327,question_answer,25,2
223,2328,question_answer,25,2
224,2329,question_answer,25,2
225,2621,matching,12,27
226,2622,matching,12,27
227,2623,matching,12,27
228,2624,matching,12,27
229,2625,matching,12,35
230,2626,matching,12,35
231,2627,matching,12,27
232,2628,matching,12,27
233,2629,matching,12,27
