,chapter_id,is_exercise_bank,syllabus_name,subject_name,chapter_name
0,12,0,Class-1,Mathematics,1.0 - Multiplication Table - 1
1,22,0,Class-1,English,1.0 - Number Words
2,24,0,Class-1,English,1.1 - Vocabulary
3,25,0,Class-1,Mathematics,2.0 - Clock Times
4,28,0,Class-1,English,1.2 - Spelling List 1
5,29,0,Class-1,Hindi,1.0 - Alphabets
6,35,0,Class-1,English,3.0 - What's that noise
7,36,0,Class-1,English,2.2 - Alphabetical Order
8,37,0,Class-1,English,2.0 - Articles
9,38,0,Class-1,English,2.1 - Is Are Am
10,39,0,Class-1,English,2.3 - Nouns
11,40,0,Class-1,English,1.3 - Science Spelling List 1
12,41,0,Class-1,English,1.4 - Spelling List 2
13,42,0,Class-1,Mathematics,3.0 - Missing Numbers
14,43,0,Class-1,Science,1.0 - Looking around us
15,49,0,Class-1,Mathematics,3.1 - Missing Numbers - 2
16,53,0,Class-1,Mathematics,4.0 - Max Min Numbers
17,54,0,Class-1,English,3.1 - Asma's house
18,55,0,Class-1,English,1.5 - Spelling List 3
19,56,0,Class-1,Science,2.0 - Plants around us
20,58,0,Class-1,English,2.4 - Capitalize and fullstop
21,59,0,Class-1,English,1.6 - Science Spelling List 2
22,69,0,Class-1,English,3.2 - A Walk to the river
23,70,0,Class-1,English,1.9 - Spelling List 6
24,71,0,Class-1,English,1.8 - Spelling List 5
25,72,0,Class-1,English,1.7 - Spelling List 4
26,109,0,Class-1,English,1.91 - Science Spelling List 3
27,155,0,Class-1,English,4.1 - Spelling List 7
28,156,0,Class-1,English,4.4 - Spelling List 10
29,157,0,Class-1,English,4.3 - Spelling List 9
30,158,0,Class-1,English,4.2 - Spelling List 8
31,159,0,Class-1,English,6.2 - Articles
32,160,0,Class-1,English,6.1 - Singular plural
33,161,0,Class-1,English,5.1 - Comprehensions
34,162,0,Class-1,Science,4.0 - Animals around us
35,163,0,Class-1,Mathematics,5.0 - Ones Tens
36,164,0,Class-1,Mathematics,6.0 - Before After
37,170,0,Class-1,English,8.1 - Rhyming words
38,171,0,Class-1,English,6.3 - Capital letters and fullstop
39,172,0,Class-1,English,6.4 - Verbs
40,173,0,Class-1,English,6.5 - ing words
41,175,0,Class-1,English,6.0 - In the children's park
42,176,0,Class-1,Science,5.0 - Food and homes of animals
43,177,0,Class-1,English,7.0 - Tulips
44,178,0,Class-1,English,7.1 - Keep the beach clean
45,181,0,Class-1,English,4.5 - Spelling List 11
46,184,0,Class-1,Mathematics,7.0 - Mental Maths
47,211,0,Class-1,English,8.0 - Little Boy and Little Cat
48,212,0,Class-1,English,8.2 - Opposites
49,422,0,Class-2,English,1.0 - Partho the park-keeper (words)
50,423,0,Class-2,English,1.1 - Partho the park-keeper (qa)
51,425,0,Class-2,Science,1.1 - Plants (qa)
52,426,0,Class-2,Science,1.0 - Plants (words)
53,456,0,Class-2,English Grammar,1.0 - chapter -1
54,457,0,Class-2,EVS,1.1 - My Body (qa)
55,458,0,Class-2,EVS,1.0 - My Body (words)
56,488,0,Class-2,English,2.1 - The old rabbit (qa)
57,489,0,Class-2,English,2.0 - The old rabbit (words)
58,490,0,Class-2,EVS,2.1 - My Family (qa)
59,491,0,Class-2,EVS,2.0 - My Family (words)
60,492,0,Class-2,Science,2.1 - We need Plants (qa)
61,493,0,Class-2,Science,2.0 - We need Plants (words)
62,495,0,Class-2,EVS,6.0 - Time to celebrate (words)
63,510,0,Class-2,EVS,6.1 - Time to celebrate (qa)
64,515,0,Class-2,English Poems,1.0 - There are big waves(words)
65,516,0,Class-2,English,3.0 - Randolph the reindeer(words)
66,517,0,Class-2,English,3.1 - Randolph the reindeer(qa)
67,534,0,Class-2,Hindi,1.0 - Matra words
68,535,0,Class-2,Science,7.1 - Housing and clothing(qa)
69,536,0,Class-2,Science,7.0 - Housing and clothing (words)
70,544,0,Class-2,EVS,7.1 - Places of Worship(qa)
71,545,0,Class-2,EVS,7.0 - Places of Worship(words)
72,549,0,Class-2,English Poems,2.0 - Our Classroom (words)
73,550,0,Class-2,English Poems,2.1 - Our Classroom (qa)
74,796,0,Class-2,EVS,13.0 - Comm and Transport
75,797,0,Class-2,EVS,14.0 - Directions and Maps
76,798,0,Class-2,EVS,19.0 - Our Universe
77,799,0,Class-2,EVS,20.0 - Our Earth
78,800,0,Class-2,EVS,5.0 - My Neighbourhood
79,801,0,Class-2,Science,10.0 - Water
80,802,0,Class-2,Science,"12.0 - The Sun, Moon and Shadows"
